Product ID,Product Name,Brand,Category,Skin Type,Main Ingredients,Rating,Price ($)
P0001,Wardah Budget Toner,Wardah,Toner,Oily,Green Tea,2.4,20.26
P0002,Emina Generation Cleanser,Emina,Cleanser,Dry,Peptides,4.9,86.91
P0003,COSRX As Moisturizer,COSRX,Moisturizer,Oily,Hyaluronic Acid,4.3,98.69
P0004,Somethinc Quality Moisturizer,Somethinc,Moisturizer,Oily,Vitamin C,3.7,52.055
P0005,COSRX Vote Toner,COSRX,Toner,Sensitive,Peptides,3.0,74.07
P0006,The Ordinary Picture Sunscreen,The Ordinary,Sunscreen,Oily,Hyaluronic Acid,4.6,60.29
P0007,Somethinc Ok Sunscreen,Somethinc,Sunscreen,Oily,Vitamin C,4.5,23.54
P0008,Emina Single Toner,Emina,Toner,Dry,Retinol,1.1,52.91
P0009,Cetaphil Most Mask,Cetaphil,Mask,Dry,Niacinamide,3.7,39.02
P0010,Laneige Three Sunscreen,Laneige,Sunscreen,Combination,Ceramide,1.3,63.21
P0011,Cetaphil Board Essence,Cetaphil,Essence,Dry,Vitamin C,4.3,55.24
P0012,COSRX Organization Moisturizer,COSRX,Moisturizer,Normal,Salicylic Acid,3.1,59.57
P0013,The Ordinary Hand Sunscreen,The Ordinary,Sunscreen,Normal,Retinol,1.2,64.2
P0014,Innisfree Cause Cleanser,Innisfree,Cleanser,Normal,Retinol,3.1,61.18
P0015,Laneige Move Toner,Laneige,Toner,Sensitive,Centella Asiatica,2.7,86.29
P0016,Laneige Morning Essence,Laneige,Essence,Oily,Salicylic Acid,2.9,48.71
P0017,The Ordinary Coach Essence,The Ordinary,Essence,Normal,Niacinamide,4.9,21.11
P0018,Skintific Mother Essence,Skintific,Essence,Combination,Hyaluronic Acid,1.1,6.03
P0019,Wardah Specific Cleanser,Wardah,Cleanser,Sensitive,Vitamin C,4.7,63.82
P0020,Wardah Form Moisturizer,Wardah,Moisturizer,Normal,Ceramide,2.5,71.82
P0021,Skintific Chair Essence,Skintific,Essence,Normal,Centella Asiatica,3.0,55.12
P0022,The Ordinary Career Essence,The Ordinary,Essence,Oily,Green Tea,1.4,8.67
P0023,Laneige Blood Essence,Laneige,Essence,Sensitive,Retinol,1.5,51.91
P0024,The Ordinary Security Cleanser,The Ordinary,Cleanser,Normal,Peptides,4.7,52.055
P0025,Avoskin He Essence,Avoskin,Essence,Sensitive,Centella Asiatica,1.4,52.98
P0026,Cetaphil Close Mask,Cetaphil,Mask,Oily,Vitamin C,2.6,14.38
P0027,Somethinc Coach Cleanser,Somethinc,Cleanser,Dry,AHA BHA,2.3,19.61
P0028,COSRX Bad Essence,COSRX,Essence,Dry,Niacinamide,3.9,31.71
P0029,Laneige Beautiful Moisturizer,Laneige,Moisturizer,Oily,AHA BHA,4.0,24.33
P0030,Laneige Especially Mask,Laneige,Mask,Combination,Peptides,3.0,88.87
P0031,Avoskin On Serum,Avoskin,Serum,Normal,Niacinamide,4.6,64.47
P0032,The Ordinary My Serum,The Ordinary,Serum,Normal,Peptides,3.3,70.77
P0033,Somethinc Unit Essence,Somethinc,Essence,Normal,Niacinamide,3.3,6.16
P0034,Skintific Social Cleanser,Skintific,Cleanser,Normal,Vitamin C,3.6,88.08
P0035,Somethinc Customer Moisturizer,Somethinc,Moisturizer,Dry,Vitamin C,1.0,55.95
P0036,The Ordinary Step Cleanser,The Ordinary,Cleanser,Normal,AHA BHA,3.0,34.99
P0037,Cetaphil Training Toner,Cetaphil,Toner,Combination,Salicylic Acid,2.2,94.32
P0038,COSRX Guy Cleanser,COSRX,Cleanser,Combination,Retinol,3.8,13.05
P0039,The Ordinary Security Toner,The Ordinary,Toner,Normal,Centella Asiatica,3.9,16.69
P0040,Wardah Receive Moisturizer,Wardah,Moisturizer,Sensitive,AHA BHA,4.1,54.71
P0041,Wardah Receive Moisturizer,Wardah,Moisturizer,Normal,Salicylic Acid,4.4,78.74
P0042,Somethinc Civil Cleanser,Somethinc,Cleanser,Combination,AHA BHA,2.4,71.69
P0043,Emina Until Cleanser,Emina,Cleanser,Normal,Salicylic Acid,4.3,56.34
